idx 	piece                                                   	freq 	portion
   0	187                                                     	16196	4.93 ‰
   1	117                                                     	15692	4.78 ‰
   2	149                                                     	14799	4.51 ‰
   3	125                                                     	14167	4.31 ‰
   4	086                                                     	13865	4.22 ‰
   5	115                                                     	11591	3.53 ‰
   6	177 106                                                 	10350	3.15 ‰
   7	136                                                     	10166	3.10 ‰
   8	133                                                     	 9947	3.03 ‰
   9	069 127                                                 	 9245	2.81 ‰
  10	193                                                     	 9179	2.79 ‰
  11	016                                                     	 9095	2.77 ‰
  12	001                                                     	 8955	2.73 ‰
  13	113                                                     	 8742	2.66 ‰
  14	089                                                     	 8562	2.61 ‰
  15	137 092                                                 	 8292	2.52 ‰
  16	023                                                     	 8157	2.48 ‰
  17	048                                                     	 7755	2.36 ‰
  18	163 070                                                 	 7580	2.31 ‰
  19	037 143 104                                             	 7381	2.25 ‰
  20	135 007                                                 	 7309	2.23 ‰
  21	000 057                                                 	 7248	2.21 ‰
  22	160 017                                                 	 7119	2.17 ‰
  23	090                                                     	 7056	2.15 ‰
  24	185                                                     	 7004	2.13 ‰
  25	054                                                     	 6966	2.12 ‰
  26	170                                                     	 6906	2.10 ‰
  27	145 108 184                                             	 6906	2.10 ‰
  28	005                                                     	 6848	2.08 ‰
  29	021 130 128 116                                         	 6770	2.06 ‰
  30	045 009                                                 	 6770	2.06 ‰
  31	026                                                     	 6726	2.05 ‰
  32	176 103 153                                             	 6252	1.90 ‰
  33	000 174                                                 	 6235	1.90 ‰
  34	165 024                                                 	 6076	1.85 ‰
  35	069                                                     	 5957	1.81 ‰
  36	056                                                     	 5914	1.80 ‰
  37	183 003 081                                             	 5789	1.76 ‰
  38	194 012                                                 	 5763	1.75 ‰
  39	112                                                     	 5763	1.75 ‰
  40	119                                                     	 5757	1.75 ‰
  41	023 142                                                 	 5749	1.75 ‰
  42	127                                                     	 5742	1.75 ‰
  43	119 082 114 007                                         	 5680	1.73 ‰
  44	070                                                     	 5514	1.68 ‰
  45	144 198 012                                             	 5509	1.68 ‰
  46	052 097 108 184                                         	 5494	1.67 ‰
  47	030                                                     	 5387	1.64 ‰
  48	049 159 012                                             	 5321	1.62 ‰
  49	114 007                                                 	 5271	1.60 ‰
  50	163                                                     	 5208	1.59 ‰
  51	040 067 098                                             	 5204	1.58 ‰
  52	013 156 073                                             	 5196	1.58 ‰
  53	066                                                     	 5147	1.57 ‰
  54	000 057 113                                             	 5080	1.55 ‰
  55	195 171 098                                             	 5018	1.53 ‰
  56	053 177 106                                             	 4969	1.51 ‰
  57	099                                                     	 4867	1.48 ‰
  58	165 101                                                 	 4863	1.48 ‰
  59	129                                                     	 4806	1.46 ‰
  60	071                                                     	 4785	1.46 ‰
  61	104                                                     	 4766	1.45 ‰
  62	143 104                                                 	 4748	1.45 ‰
  63	188                                                     	 4713	1.43 ‰
  64	044                                                     	 4694	1.43 ‰
  65	126 087 157 041                                         	 4681	1.43 ‰
  66	134 105                                                 	 4628	1.41 ‰
  67	151                                                     	 4606	1.40 ‰
  68	028                                                     	 4441	1.35 ‰
  69	012                                                     	 4431	1.35 ‰
  70	165                                                     	 4405	1.34 ‰
  71	041                                                     	 4385	1.34 ‰
  72	079                                                     	 4354	1.33 ‰
  73	021 128 116                                             	 4293	1.31 ‰
  74	074                                                     	 4232	1.29 ‰
  75	156 073                                                 	 4228	1.29 ‰
  76	151 126 087 157 041                                     	 4162	1.27 ‰
  77	092                                                     	 4137	1.26 ‰
  78	116                                                     	 4095	1.25 ‰
  79	053 106                                                 	 4064	1.24 ‰
  80	176 103 004 153                                         	 4054	1.23 ‰
  81	144 012                                                 	 4048	1.23 ‰
  82	144                                                     	 4031	1.23 ‰
  83	000                                                     	 4030	1.23 ‰
  84	091 065                                                 	 4029	1.23 ‰
  85	122                                                     	 4023	1.22 ‰
  86	183 003                                                 	 3854	1.17 ‰
  87	022 010                                                 	 3846	1.17 ‰
  88	006 121 059                                             	 3735	1.14 ‰
  89	073                                                     	 3733	1.14 ‰
  90	089 031 100                                             	 3718	1.13 ‰
  91	128 116                                                 	 3707	1.13 ‰
  92	031 100                                                 	 3689	1.12 ‰
  93	121 059 056                                             	 3684	1.12 ‰
  94	013                                                     	 3670	1.12 ‰
  95	100                                                     	 3612	1.10 ‰
  96	037                                                     	 3524	1.07 ‰
  97	144 028                                                 	 3505	1.07 ‰
  98	172                                                     	 3469	1.06 ‰
  99	021 130 128                                             	 3452	1.05 ‰
 100	036 162 137 092                                         	 3435	1.05 ‰
 101	172 185                                                 	 3434	1.05 ‰
 102	089 044                                                 	 3407	1.04 ‰
 103	121 059 027                                             	 3404	1.04 ‰
 104	010                                                     	 3390	1.03 ‰
 105	013 156 044                                             	 3360	1.02 ‰
 106	068                                                     	 3302	1.01 ‰
 107	<w> 014 131                                             	 3270	1.00 ‰
 108	016 186 164                                             	 3259	0.99 ‰
 109	186 065                                                 	 3256	0.99 ‰
 110	186 164 065                                             	 3252	0.99 ‰
 111	123                                                     	 3241	0.99 ‰
 112	024                                                     	 3232	0.98 ‰
 113	144 198 028                                             	 3176	0.97 ‰
 114	031 046                                                 	 3163	0.96 ‰
 115	082 114 007                                             	 3148	0.96 ‰
 116	193 170                                                 	 3139	0.96 ‰
 117	007                                                     	 3135	0.95 ‰
 118	089 031 046                                             	 3128	0.95 ‰
 119	064                                                     	 3118	0.95 ‰
 120	045 033 009                                             	 3092	0.94 ‰
 121	130 128 116                                             	 3061	0.93 ‰
 122	175 043 091 065                                         	 3058	0.93 ‰
 123	190 009                                                 	 3056	0.93 ‰
 124	156                                                     	 3033	0.92 ‰
 125	000 057 018                                             	 3031	0.92 ‰
 126	049 159                                                 	 3009	0.92 ‰
 127	062                                                     	 3005	0.91 ‰
 128	006 121 059 027                                         	 2996	0.91 ‰
 129	037 143                                                 	 2994	0.91 ‰
 130	186 164                                                 	 2976	0.91 ‰
 131	081                                                     	 2953	0.90 ‰
 132	023 096 012                                             	 2897	0.88 ‰
 133	172 069 127                                             	 2881	0.88 ‰
 134	051                                                     	 2855	0.87 ‰
 135	040 141 102 015 041                                     	 2855	0.87 ‰
 136	192                                                     	 2846	0.87 ‰
 137	121 059 027 115                                         	 2826	0.86 ‰
 138	139                                                     	 2771	0.84 ‰
 139	013 156                                                 	 2736	0.83 ‰
 140	089 073                                                 	 2727	0.83 ‰
 141	085                                                     	 2724	0.83 ‰
 142	072                                                     	 2723	0.83 ‰
 143	006 121 059 056                                         	 2720	0.83 ‰
 144	040                                                     	 2705	0.82 ‰
 145	006                                                     	 2699	0.82 ‰
 146	173 116                                                 	 2676	0.81 ‰
 147	049 159 123                                             	 2650	0.81 ‰
 148	160 017 112                                             	 2647	0.81 ‰
 149	049 050                                                 	 2627	0.80 ‰
 150	121 059                                                 	 2620	0.80 ‰
 151	151 111 141 102 015 041                                 	 2610	0.79 ‰
 152	194                                                     	 2607	0.79 ‰
 153	059 056                                                 	 2591	0.79 ‰
 154	126 087 157                                             	 2590	0.79 ‰
 155	143                                                     	 2575	0.78 ‰
 156	188 090                                                 	 2571	0.78 ‰
 157	091                                                     	 2545	0.77 ‰
 158	057                                                     	 2545	0.77 ‰
 159	193 099                                                 	 2542	0.77 ‰
 160	084                                                     	 2541	0.77 ‰
 161	094                                                     	 2511	0.76 ‰
 162	000 057 174                                             	 2509	0.76 ‰
 163	165 101 024                                             	 2506	0.76 ‰
 164	052                                                     	 2469	0.75 ‰
 165	129 068                                                 	 2468	0.75 ‰
 166	059                                                     	 2467	0.75 ‰
 167	006 121 059 027 115                                     	 2465	0.75 ‰
 168	061 032                                                 	 2464	0.75 ‰
 169	151 126 087 157                                         	 2431	0.74 ‰
 170	045                                                     	 2430	0.74 ‰
 171	087 157 041                                             	 2420	0.74 ‰
 172	194 028                                                 	 2412	0.73 ‰
 173	059 027                                                 	 2399	0.73 ‰
 174	186                                                     	 2394	0.73 ‰
 175	065                                                     	 2380	0.72 ‰
 176	119 051 063                                             	 2377	0.72 ‰
 177	016 186 164 065                                         	 2357	0.72 ‰
 178	119 114 007                                             	 2351	0.72 ‰
 179	147                                                     	 2328	0.71 ‰
 180	114                                                     	 2326	0.71 ‰
 181	190 033 009                                             	 2324	0.71 ‰
 182	101                                                     	 2323	0.71 ‰
 183	109                                                     	 2308	0.70 ‰
 184	184                                                     	 2300	0.70 ‰
 185	173                                                     	 2288	0.70 ‰
 186	110 018                                                 	 2277	0.69 ‰
 187	181 038 024                                             	 2275	0.69 ‰
 188	174                                                     	 2270	0.69 ‰
 189	111 141 102 015 041                                     	 2263	0.69 ‰
 190	037 054                                                 	 2263	0.69 ‰
 191	145 108                                                 	 2240	0.68 ‰
 192	110 113                                                 	 2218	0.68 ‰
 193	142                                                     	 2210	0.67 ‰
 194	119 051                                                 	 2192	0.67 ‰
 195	013 085                                                 	 2174	0.66 ‰
 196	050                                                     	 2174	0.66 ‰
 197	021 116                                                 	 2166	0.66 ‰
 198	182                                                     	 2156	0.66 ‰
 199	059 027 115                                             	 2156	0.66 ‰
 200	048 074                                                 	 2152	0.66 ‰
 201	165 047 139                                             	 2148	0.65 ‰
 202	037 115                                                 	 2146	0.65 ‰
 203	008                                                     	 2122	0.65 ‰
 204	078                                                     	 2121	0.65 ‰
 205	175 043                                                 	 2110	0.64 ‰
 206	177 106 145 108 184                                     	 2103	0.64 ‰
 207	148 078                                                 	 2102	0.64 ‰
 208	095 030                                                 	 2099	0.64 ‰
 209	097 108 184                                             	 2098	0.64 ‰
 210	175 028                                                 	 2096	0.64 ‰
 211	133 010                                                 	 2082	0.63 ‰
 212	126                                                     	 2081	0.63 ‰
 213	046                                                     	 2077	0.63 ‰
 214	193 148 078                                             	 2064	0.63 ‰
 215	185 156                                                 	 2060	0.63 ‰
 216	170 035                                                 	 2057	0.63 ‰
 217	190 169 136                                             	 2055	0.63 ‰
 218	172 195 171 098                                         	 2055	0.63 ‰
 219	150 003 081                                             	 2053	0.63 ‰
 220	053                                                     	 2052	0.62 ‰
 221	176 103 004                                             	 2049	0.62 ‰
 222	021 130 128 116 187                                     	 2043	0.62 ‰
 223	072 025                                                 	 2036	0.62 ‰
 224	156 044                                                 	 2031	0.62 ‰
 225	051 063                                                 	 2029	0.62 ‰
 226	010 128 116                                             	 2026	0.62 ‰
 227	128                                                     	 2009	0.61 ‰
 228	181 038 101                                             	 2008	0.61 ‰
 229	130 128                                                 	 2005	0.61 ‰
 230	075 139                                                 	 2004	0.61 ‰
 231	145                                                     	 2004	0.61 ‰
 232	080 060 101                                             	 1997	0.61 ‰
 233	178 105                                                 	 1990	0.61 ‰
 234	057 113                                                 	 1988	0.61 ‰
 235	035 069 127                                             	 1977	0.60 ‰
 236	109 101                                                 	 1971	0.60 ‰
 237	146                                                     	 1968	0.60 ‰
 238	095                                                     	 1950	0.59 ‰
 239	150                                                     	 1941	0.59 ‰
 240	119 082 182                                             	 1936	0.59 ‰
 241	197                                                     	 1936	0.59 ‰
 242	158                                                     	 1932	0.59 ‰
 243	076 101 024                                             	 1932	0.59 ‰
 244	110                                                     	 1918	0.58 ‰
 245	049                                                     	 1918	0.58 ‰
 246	106                                                     	 1913	0.58 ‰
 247	001 163 070                                             	 1912	0.58 ‰
 248	168 141 102 015 041                                     	 1906	0.58 ‰
 249	199 033 009                                             	 1892	0.58 ‰
 250	190                                                     	 1878	0.57 ‰
 251	085 089 154 046                                         	 1874	0.57 ‰
 252	089 154 046                                             	 1864	0.57 ‰
 253	009                                                     	 1860	0.57 ‰
 254	141 102 015 041                                         	 1857	0.57 ‰
 255	071 031 100                                             	 1854	0.56 ‰
 256	075                                                     	 1847	0.56 ‰
 257	079 104                                                 	 1845	0.56 ‰
 258	054 134 105                                             	 1842	0.56 ‰
 259	165 179                                                 	 1840	0.56 ‰
 260	093 066                                                 	 1834	0.56 ‰
